_a_-_a	a (glotal) a
_e_-_e	e (glotal) e
_i_-_i	i (glotal) i
_o_-_o	o (glotal) o
_u_-_u	u (glotal) u
_eh_-_eh	eh (glotal) eh
_oh_-_oh	oh (glotal) oh
_an_-_an	an (glotal) an
_en_-_en	en (glotal) en
_in_-_in	in (glotal) in
_on_-_on	on (glotal) on
_un_-_un	un (glotal) un
_ax_-_ax	ax (glotal) ax

_b_a_b_a_b	ba ba b
_b_e_b_e_b	be be b
_b_i_b_i_b	bi bi b
_b_o_b_o_b	bo bo b
_b_u_b_u_b	bu bu b
_b_eh_b_eh_b	beh beh b
_b_oh_b_oh_b	boh boh b
_b_an_b_an_b	ban ban b
_b_en_b_en_b	ben ben b
_b_in_b_in_b	bin bin b
_b_on_b_on_b	bon bon b
_b_un_b_un_b	bun bun b
_b_ax_b_ax_b	bax bax b
_ch_a_ch_a_ch	cha cha ch
_ch_e_ch_e_ch	che che ch
_ch_i_ch_i_ch	chi chi ch
_ch_o_ch_o_ch	cho cho ch
_ch_u_ch_u_ch	chu chu ch
_ch_eh_ch_eh_ch	cheh cheh ch
_ch_oh_ch_oh_ch	choh choh ch
_ch_an_ch_an_ch	chan chan ch
_ch_en_ch_en_ch	chen chen ch
_ch_in_ch_in_ch	chin chin ch
_ch_on_ch_on_ch	chon chon ch
_ch_un_ch_un_ch	chun chun ch
_ch_ax_ch_ax_ch	chax chax ch
_d_a_d_a_d	da da d
_d_e_d_e_d	de de d
_d_i_d_i_d	di di d
_d_o_d_o_d	do do d
_d_u_d_u_d	du du d
_d_eh_d_eh_d	deh deh d
_d_oh_d_oh_d	doh doh d
_d_an_d_an_d	dan dan d
_d_en_d_en_d	den den d
_d_in_d_in_d	din din d
_d_on_d_on_d	don don d
_d_un_d_un_d	dun dun d
_d_ax_d_ax_d	dax dax d
_dj_a_dj_a_dj	dja dja dj
_dj_e_dj_e_dj	dje dje dj
_dj_i_dj_i_dj	dji dji dj
_dj_o_dj_o_dj	djo djo dj
_dj_u_dj_u_dj	dju dju dj
_dj_eh_dj_eh_dj	djeh djeh dj
_dj_oh_dj_oh_dj	djoh djoh dj
_dj_an_dj_an_dj	djan djan dj
_dj_en_dj_en_dj	djen djen dj
_dj_in_dj_in_dj	djin djin dj
_dj_on_dj_on_dj	djon djon dj
_dj_un_dj_un_dj	djun djun dj
_dj_ax_dj_ax_dj	djax djax dj
_f_a_f_a_f	fa fa f
_f_e_f_e_f	fe fe f
_f_i_f_i_f	fi fi f
_f_o_f_o_f	fo fo f
_f_u_f_u_f	fu fu f
_f_eh_f_eh_f	feh feh f
_f_oh_f_oh_f	foh foh f
_f_an_f_an_f	fan fan f
_f_en_f_en_f	fen fen f
_f_in_f_in_f	fin fin f
_f_on_f_on_f	fon fon f
_f_un_f_un_f	fun fun f
_f_ax_f_ax_f	fax fax f
_g_a_g_a_g	ga ga g
_g_e_g_e_g	ge ge g
_g_i_g_i_g	gi gi g
_g_o_g_o_g	go go g
_g_u_g_u_g	gu gu g
_g_eh_g_eh_g	geh geh g
_g_oh_g_oh_g	goh goh g
_g_an_g_an_g	gan gan g
_g_en_g_en_g	gen gen g
_g_in_g_in_g	gin gin g
_g_on_g_on_g	gon gon g
_g_un_g_un_g	gun gun g
_g_ax_g_ax_g	gax gax g
_h_a_h_a_h	ha ha h
_h_e_h_e_h	he he h
_h_i_h_i_h	hi hi h
_h_o_h_o_h	ho ho h
_h_u_h_u_h	hu hu h
